StudentID,StudentName,EnrolledCourses
001,Waqar Qureshi,CS127-01;CS107-02
002,Iqra Waqar,CS102-03;CS124-01
003,Maira Aziz,CS107-02;CS113-02;CS123-03;CS111-03
004,Sana Iqbal,CS105-03;CS123-03;CS117-03;CS128-02;CS111-03
005,Rabia Waqar,CS104-02;CS109-01;CS112-01;CS129-03
006,Zainab Farooqui,CS115-01;CS114-03;CS121-01;CS125-02
007,Sohaib Tariq,CS109-01;CS125-02;CS108-03;CS119-02
008,Waqar Tariq,CS122-02;CS102-03
009,Zainab Awan,CS113-02;CS116-02;CS112-01;CS107-02;CS117-03
010,Hassan Butt,CS107-02;CS121-01;CS126-03
011,Tariq Ahmed,CS104-02;CS124-01;CS107-02
012,Hamza Chaudhry,CS127-01;CS103-01;CS121-01;CS124-01
013,Nimra Aziz,CS101-02;CS107-02;CS129-03
014,Shahid Niazi,CS103-01;CS118-01
015,Rabia Khan,CS125-02;CS118-01;CS117-03;CS123-03
016,Hamza Awan,CS101-02;CS110-02;CS115-01;CS104-02;CS117-03
017,Ali Javed,CS101-02;CS109-01;CS119-02
018,Hamza Niazi,CS116-02;CS103-01;CS101-02;CS120-03;CS108-03
019,Adnan Khatri,CS123-03;CS105-03;CS106-01;CS125-02;CS119-02
020,Ali Memon,CS108-03;CS119-02
021,Aisha Waqar,CS100-01;CS104-02
022,Zara Tariq,CS128-02;CS111-03
023,Lubna Rizvi,CS125-02;CS120-03;CS108-03;CS112-01;CS105-03
024,Ahmer Hashmi,CS104-02;CS123-03
025,Hassan Ahmed,CS123-03;CS125-02
026,Zara Iqbal,CS108-03;CS120-03;CS123-03;CS119-02;CS121-01
027,Hassan Javed,CS102-03;CS121-01;CS125-02;CS107-02;CS114-03
028,Danyal Farooqui,CS103-01;CS109-01;CS121-01;CS108-03
029,Waleed Iqbal,CS125-02;CS102-03;CS107-02
030,Sidra Khatri,CS123-03;CS103-01;CS109-01;CS117-03;CS107-02
031,Ali Butt,CS112-01;CS122-02;CS126-03;CS108-03
032,Danyal Ali,CS107-02;CS111-03;CS112-01;CS119-02
033,Aisha Awan,CS125-02;CS124-01;CS129-03
034,Danyal Hashmi,CS109-01;CS116-02;CS105-03;CS125-02;CS104-02
035,Waqar Shah,CS116-02;CS102-03;CS121-01;CS104-02;CS110-02
036,Bilal Khan,CS106-01;CS120-03
037,Fatima Iqbal,CS111-03;CS126-03;CS109-01;CS121-01;CS106-01
038,Zainab Shah,CS128-02;CS125-02
039,Zara Aziz,CS112-01;CS128-02;CS101-02;CS125-02
040,Farah Awan,CS105-03;CS106-01;CS125-02;CS116-02
041,Noor Mirza,CS126-03;CS121-01;CS113-02
042,Hira Syed,CS102-03;CS117-03
043,Hassan Siddiqui,CS110-02;CS128-02
044,Maira Bokhari,CS123-03;CS111-03;CS100-01;CS124-01;CS114-03
045,Amina Javed,CS107-02;CS121-01
046,Zainab Chaudhry,CS111-03;CS110-02;CS119-02;CS101-02
047,Fatima Chaudhry,CS113-02;CS125-02;CS116-02
048,Asad Raza,CS123-03;CS119-02;CS122-02;CS105-03
049,Noor Waqar,CS102-03;CS118-01
050,Hassan Khan,CS121-01;CS108-03;CS107-02;CS106-01
051,Fatima Syed,CS104-02;CS113-02
052,Omar Sheikh,CS128-02;CS116-02
053,Rida Aziz,CS126-03;CS102-03
054,Omar Hussain,CS114-03;CS103-01;CS124-01;CS101-02;CS112-01
055,Rabia Ahmed,CS121-01;CS105-03;CS107-02;CS128-02;CS113-02
056,Sana Raza,CS122-02;CS116-02;CS127-01
057,Ali Beg,CS117-03;CS101-02;CS114-03;CS103-01
058,Saba Shah,CS111-03;CS100-01;CS120-03;CS129-03
059,Omar Javed,CS113-02;CS109-01;CS122-02
060,Danyal Awan,CS111-03;CS117-03;CS114-03;CS104-02;CS103-01
061,Hiba Beg,CS128-02;CS109-01;CS126-03
062,Sana Farooqui,CS100-01;CS129-03;CS106-01;CS104-02
