StudentID,StudentName,EnrolledCourses
001,Ahmer Farooqui,CS104-02;CS107-02;CS110-02
002,Ayesha Niazi,CS111-03;CS102-03;CS115-01;CS101-02;CS106-01
003,Omar Mirza,CS117-03;CS112-01;CS104-02;CS100-01;CS110-02
004,Sohaib Mirza,CS106-01;CS108-03;CS111-03;CS103-01
005,Sidra Aziz,CS115-01;CS109-01;CS114-03
006,Zainab Iqbal,CS119-02;CS112-01;CS105-03;CS100-01
007,Faisal Raza,CS118-01;CS116-02
008,Tariq Syed,CS116-02;CS110-02
009,Nabeel Baig,CS114-03;CS101-02;CS118-01;CS115-01
010,Zara Iqbal,CS105-03;CS109-01;CS112-01
011,Faisal Gilani,CS101-02;CS106-01;CS108-03;CS115-01
012,Iqra Khan,CS101-02;CS106-01;CS102-03;CS115-01;CS104-02
013,Imran Khatri,CS105-03;CS115-01;CS110-02
014,Faisal Rizvi,CS115-01;CS116-02
015,Iqra Ahmed,CS114-03;CS104-02
016,Zainab Ansari,CS116-02;CS104-02
017,Noor Abbasi,CS107-02;CS119-02;CS108-03;CS104-02;CS116-02
018,Maryam Memon,CS108-03;CS119-02
019,Noor Bokhari,CS115-01;CS106-01;CS112-01;CS114-03
020,Saad Rizvi,CS103-01;CS116-02;CS115-01;CS101-02
021,Hiba Ahmed,CS107-02;CS104-02;CS110-02;CS100-01
022,Zainab Hussain,CS104-02;CS113-02
023,Hira Tariq,CS110-02;CS116-02
024,Maira Niazi,CS112-01;CS111-03;CS107-02;CS102-03;CS118-01
025,Sana Syed,CS119-02;CS104-02;CS103-01
026,Ali Malik,CS117-03;CS111-03
027,Danyal Abbasi,CS101-02;CS110-02;CS109-01;CS108-03;CS104-02
028,Ayesha Baig,CS107-02;CS101-02
029,Bilal Javed,CS103-01;CS117-03;CS102-03;CS113-02
030,Kamran Tariq,CS109-01;CS116-02
