StudentID,StudentName,EnrolledCourses
001,Usman Shah,CS110-02;CS118-01
002,Tariq Gilani,CS104-02;CS106-01;CS101-02;CS113-02
003,Waqar Khatri,CS108-03;CS101-02
004,Ayesha Sheikh,CS106-01;CS114-03;CS109-01
005,Fatima Farooqui,CS108-03;CS105-03;CS116-02;CS114-03;CS118-01
006,Rida Hashmi,CS103-01;CS111-03;CS104-02;CS115-01
007,Nimra Niazi,CS119-02;CS110-02;CS109-01;CS116-02
008,Asad Javed,CS118-01;CS112-01;CS103-01;CS111-03;CS109-01
009,Kamran Awan,CS103-01;CS110-02;CS118-01
010,Maryam Aziz,CS101-02;CS111-03;CS103-01
011,Ahmer Farooqui,CS103-01;CS100-01;CS110-02;CS101-02
012,Zara Awan,CS117-03;CS116-02
013,Usman Chaudhry,CS112-01;CS115-01;CS109-01;CS103-01;CS114-03
014,Zara Hashmi,CS116-02;CS114-03
015,Kamran Gilani,CS115-01;CS101-02
016,Maira Siddiqui,CS112-01;CS109-01
017,Zara Chaudhry,CS118-01;CS103-01
018,Sana Beg,CS105-03;CS119-02
019,Tariq Baig,CS116-02;CS105-03
020,Noor Ahmed,CS118-01;CS105-03;CS113-02;CS103-01;CS106-01
021,Nabeel Gilani,CS113-02;CS105-03;CS106-01;CS118-01
022,Saad Butt,CS100-01;CS103-01;CS115-01;CS119-02
023,Hira Javed,CS111-03;CS104-02;CS114-03;CS109-01
024,Nimra Sheikh,CS115-01;CS101-02;CS106-01;CS118-01;CS117-03
025,Lubna Javed,CS117-03;CS102-03;CS114-03
026,Farah Gilani,CS106-01;CS103-01;CS109-01;CS117-03
027,Kamran Khatri,CS117-03;CS101-02
028,Amina Ahmed,CS118-01;CS116-02;CS100-01;CS108-03
029,Sana Bokhari,CS113-02;CS108-03;CS115-01;CS112-01;CS102-03
030,Waqar Abbasi,CS104-02;CS118-01
