StudentID,StudentName,EnrolledCourses
001,Waqar Niazi,CS110-02;CS103-01;CS113-02;CS106-01
002,Zainab Khatri,CS106-01;CS129-03;CS116-02;CS115-01;CS118-01
003,Lubna Sheikh,CS126-03;CS119-02
004,Maira Tariq,CS112-01;CS118-01;CS106-01
005,Danyal Siddiqui,CS121-01;CS118-01;CS103-01
006,Zainab Awan,CS123-03;CS127-01;CS112-01
007,Adnan Iqbal,CS110-02;CS115-01
008,Amina Sheikh,CS129-03;CS101-02;CS108-03;CS121-01;CS122-02
009,Asad Gilani,CS109-01;CS114-03;CS107-02;CS115-01;CS113-02
010,Farah Waqar,CS128-02;CS112-01;CS123-03;CS100-01
011,Iqra Ansari,CS127-01;CS101-02;CS105-03
012,Sana Niazi,CS103-01;CS129-03
013,Usman Ansari,CS122-02;CS123-03;CS128-02
014,Ali Beg,CS119-02;CS129-03
015,Waleed Gilani,CS102-03;CS117-03;CS129-03
016,Ahmer Abbasi,CS104-02;CS112-01;CS105-03
017,Bilal Javed,CS121-01;CS111-03;CS108-03;CS124-01;CS119-02
018,Sohaib Niazi,CS100-01;CS103-01
019,Amina Qureshi,CS118-01;CS125-02;CS110-02;CS112-01;CS116-02
020,Rabia Syed,CS126-03;CS128-02;CS115-01;CS111-03;CS127-01
021,Adnan Baig,CS118-01;CS128-02;CS110-02;CS105-03;CS116-02
022,Nimra Memon,CS111-03;CS106-01;CS100-01;CS117-03;CS120-03
023,Ayesha Ansari,CS112-01;CS123-03
024,Faisal Farooqui,CS125-02;CS122-02;CS118-01;CS126-03;CS105-03
025,Nabeel Syed,CS125-02;CS120-03;CS121-01;CS122-02
026,Tariq Bokhari,CS125-02;CS122-02;CS109-01;CS112-01;CS124-01
027,Faisal Raza,CS107-02;CS125-02;CS118-01
028,Lubna Baig,CS114-03;CS126-03;CS110-02;CS120-03;CS106-01
029,Sidra Butt,CS129-03;CS109-01;CS102-03;CS114-03
030,Ali Javed,CS112-01;CS125-02;CS121-01;CS104-02
031,Hamza Ahmed,CS127-01;CS117-03;CS121-01
032,Rabia Awan,CS114-03;CS103-01;CS123-03;CS105-03
033,Danyal Awan,CS100-01;CS124-01;CS129-03;CS123-03;CS107-02
034,Sohaib Iqbal,CS123-03;CS115-01;CS121-01;CS104-02
035,Adnan Rizvi,CS105-03;CS112-01
036,Zainab Malik,CS113-02;CS117-03;CS108-03
037,Rabia Iqbal,CS107-02;CS112-01;CS125-02
038,Hassan Hussain,CS100-01;CS124-01;CS108-03;CS114-03;CS112-01
039,Hira Iqbal,CS110-02;CS104-02;CS100-01;CS113-02
040,Amina Ali,CS119-02;CS123-03;CS118-01
041,Kamran Waqar,CS102-03;CS120-03
042,Shahid Ali,CS101-02;CS128-02;CS110-02;CS113-02;CS109-01
043,Usman Siddiqui,CS122-02;CS101-02;CS119-02;CS105-03;CS120-03
044,Sana Butt,CS122-02;CS129-03
045,Sohaib Shah,CS112-01;CS124-01;CS122-02;CS108-03
046,Sohaib Farooqui,CS116-02;CS126-03;CS112-01
047,Faisal Bokhari,CS112-01;CS122-02;CS105-03;CS109-01;CS129-03
048,Sidra Ahmed,CS107-02;CS106-01
049,Rida Butt,CS106-01;CS121-01;CS118-01
050,Waqar Hussain,CS119-02;CS128-02
051,Sohaib Sheikh,CS117-03;CS126-03
052,Ahmer Syed,CS123-03;CS129-03;CS126-03
053,Hassan Baig,CS108-03;CS115-01;CS128-02;CS110-02
054,Asad Niazi,CS113-02;CS114-03;CS111-03
055,Saba Memon,CS121-01;CS103-01;CS105-03;CS100-01;CS119-02
056,Nabeel Baig,CS105-03;CS100-01;CS126-03;CS129-03;CS101-02
057,Waqar Bokhari,CS103-01;CS110-02;CS108-03
058,Faisal Mirza,CS113-02;CS119-02;CS110-02
059,Zara Bokhari,CS121-01;CS126-03
060,Sana Farooqui,CS101-02;CS124-01;CS115-01;CS111-03;CS118-01
061,Waleed Ansari,CS118-01;CS108-03
062,Iqra Sheikh,CS114-03;CS118-01
