StudentID,StudentName,EnrolledCourses
001,Sidra Syed,CS115-01;CS116-02;CS100-01;CS114-03
002,Rabia Bokhari,CS109-01;CS101-02;CS112-01;CS116-02;CS105-03
003,Faisal Hashmi,CS118-01;CS111-03;CS102-03;CS113-02;CS114-03
004,Hassan Hussain,CS117-03;CS113-02;CS108-03
005,Adnan Gilani,CS114-03;CS119-02
006,Zainab Gilani,CS115-01;CS109-01;CS106-01;CS110-02
007,Asad Tariq,CS110-02;CS103-01;CS116-02;CS117-03;CS102-03
008,Fatima Bokhari,CS102-03;CS116-02;CS101-02;CS112-01;CS109-01
009,Saba Qureshi,CS116-02;CS100-01;CS119-02
010,Shahid Waqar,CS100-01;CS101-02;CS102-03;CS116-02
011,Rabia Mirza,CS115-01;CS116-02;CS113-02;CS111-03;CS107-02
012,Fatima Niazi,CS114-03;CS113-02;CS106-01;CS119-02
013,Ayesha Niazi,CS117-03;CS111-03;CS110-02
014,Noor Raza,CS114-03;CS108-03;CS103-01
015,Ahmer Khatri,CS111-03;CS116-02;CS106-01
016,Adnan Malik,CS108-03;CS111-03;CS110-02
017,Nabeel Khatri,CS113-02;CS106-01
018,Iqra Farooqui,CS106-01;CS116-02;CS115-01;CS101-02;CS119-02
019,Aisha Iqbal,CS118-01;CS106-01;CS107-02;CS103-01;CS104-02
020,Waqar Butt,CS103-01;CS110-02;CS115-01;CS117-03;CS101-02
021,Saad Chaudhry,CS115-01;CS109-01;CS114-03;CS107-02
022,Imran Awan,CS113-02;CS116-02;CS108-03;CS112-01;CS100-01
023,Adnan Awan,CS101-02;CS105-03;CS100-01
024,Iqra Chaudhry,CS118-01;CS106-01
025,Maryam Ansari,CS119-02;CS117-03
026,Aisha Butt,CS102-03;CS117-03;CS118-01
027,Saad Memon,CS104-02;CS119-02;CS112-01
028,Nimra Aziz,CS113-02;CS111-03;CS108-03
029,Rabia Baig,CS100-01;CS103-01
030,Ali Beg,CS118-01;CS110-02;CS112-01;CS116-02;CS113-02
